date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:51:37	103/103	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Dec%202018%2002:21:35%20GMT	http://hari.azurewebsites.net/robots.txt		(from )
07:51:40	60251/60251	---M-Z	200	added ('OK')	text/html	etag:%22802894dd937ad01:0%22	http://hari.azurewebsites.net/	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/index.html	(from )
07:51:44	10023/10023	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/favicon.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/favicon.png	(from http://hari.azurewebsites.net/)
07:52:14	7789/7789	---M-Z	200	added ('OK')	text/css	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/magnific-popup/magnific-popup.css	(from http://hari.azurewebsites.net/)
07:52:14	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/owl-carousel/owl.carousel.css	(from http://hari.azurewebsites.net/)
07:52:15	1665/1665	---M-Z	200	added ('OK')	text/css	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/owl-carousel/owl.theme.css	(from http://hari.azurewebsites.net/)
07:52:19	15250/15250	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/js/modernizr.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/js/modernizr.js	(from http://hari.azurewebsites.net/)
07:52:19	13482/13482	---M-Z	200	added ('OK')	text/css	etag:%220af4d63677ad01:0%22	http://hari.azurewebsites.net/css/responsive.css	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/css/responsive.css	(from http://hari.azurewebsites.net/)
07:52:21	39789/39789	---M-Z	200	added ('OK')	text/css	etag:%220af4d63677ad01:0%22	http://hari.azurewebsites.net/css/style.css	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/css/style.css	(from http://hari.azurewebsites.net/)
07:52:46	32414/32414	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p1.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p1.jpg	(from http://hari.azurewebsites.net/)
07:52:48	31240/31240	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p-1.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p-1.png	(from http://hari.azurewebsites.net/)
07:52:54	64668/64668	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/game.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/game.jpg	(from http://hari.azurewebsites.net/)
07:52:59	31306/31306	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p5.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p5.jpg	(from http://hari.azurewebsites.net/)
07:53:04	157477/157477	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/avatarme.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/avatarme.png	(from http://hari.azurewebsites.net/)
07:53:07	213490/213490	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/gme.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/gme.jpg	(from http://hari.azurewebsites.net/)
07:53:08	10910/10910	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/ar.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/ar.png	(from http://hari.azurewebsites.net/)
07:53:09	34995/34995	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p5.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p5.jpg	(from http://hari.azurewebsites.net/)
07:53:28	140788/140788	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/ard.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/ard.jpg	(from http://hari.azurewebsites.net/)
07:53:37	29166/29166	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/pos.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/pos.jpg	(from http://hari.azurewebsites.net/)
07:54:12	524935/524935	---M--	200	added ('OK')	application/pdf	etag:%220b6d9109a7ad01:0%22	http://hari.azurewebsites.net/resume.pdf	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/resume.pdf	(from http://hari.azurewebsites.net/)
07:54:58	19308/19308	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p2.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p2.jpg	(from http://hari.azurewebsites.net/)
07:55:01	18836/18836	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p2.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p2.jpg	(from http://hari.azurewebsites.net/)
07:55:20	39040/39040	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p6.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p6.jpg	(from http://hari.azurewebsites.net/)
07:55:32	45607/45607	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p6.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p6.jpg	(from http://hari.azurewebsites.net/)
07:55:36	24873/24873	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/id.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/id.jpg	(from http://hari.azurewebsites.net/)
07:57:09	1219934/1219934	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/pista.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/pista.png	(from http://hari.azurewebsites.net/)
07:57:12	22699/22699	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p4.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p4.jpg	(from http://hari.azurewebsites.net/)
07:57:15	23619/23619	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p4.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p4.jpg	(from http://hari.azurewebsites.net/)
07:57:24	38529/38529	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p7.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p7.jpg	(from http://hari.azurewebsites.net/)
07:57:28	36268/36268	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p7.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p7.jpg	(from http://hari.azurewebsites.net/)
07:57:32	22452/22452	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/p3.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/p3.jpg	(from http://hari.azurewebsites.net/)
07:57:42	21586/21586	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/p3.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/p3.jpg	(from http://hari.azurewebsites.net/)
07:57:44	1310/1310	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/location-map.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/location-map.svg	(from http://hari.azurewebsites.net/)
07:57:45	1084/1084	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/phone-icon.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/phone-icon.svg	(from http://hari.azurewebsites.net/)
07:57:49	978/978	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/email-icon.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/email-icon.svg	(from http://hari.azurewebsites.net/)
07:57:53	57514/57514	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/js/gmaps.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/js/gmaps.js	(from http://hari.azurewebsites.net/)
07:57:54	84245/84245	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/js/jquery-2.1.1.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/js/jquery-2.1.1.js	(from http://hari.azurewebsites.net/)
07:57:56	46281/46281	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/magnific-popup/jquery.magnific-popup.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/magnific-popup/jquery.magnific-popup.js	(from http://hari.azurewebsites.net/)
07:57:57	23890/23890	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/owl-carousel/owl.carousel.min.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/owl-carousel/owl.carousel.min.js	(from http://hari.azurewebsites.net/)
07:58:00	51541/51541	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/mixitup/jquery.mixitup.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/mixitup/jquery.mixitup.js	(from http://hari.azurewebsites.net/)
07:58:03	19761/19761	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd481e-4d31%22	https://cdnjs.cloudflare.com/ajax/libs/Chart.js/0.2.0/Chart.min.js	C:/My%20Web%20Sites/jegan/cdnjs.cloudflare.com/ajax/libs/Chart.js/0.2.0/Chart.min.js	(from http://hari.azurewebsites.net/)
07:58:04	8124/8124	---M-Z	200	added ('OK')	application/x-javascript	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/js/scripts.js	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/js/scripts.js	(from http://hari.azurewebsites.net/)
07:58:08	116/116	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/owl-carousel/grabbing.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/owl-carousel/grabbing.png	(from http://hari.azurewebsites.net/lib/owl-carousel/owl.carousel.css)
07:59:58	1517/1517	---M--	200	added ('OK')	image/gif	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/lib/owl-carousel/AjaxLoader.gif	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/lib/owl-carousel/AjaxLoader.gif	(from http://hari.azurewebsites.net/lib/owl-carousel/owl.theme.css)
07:59:59	21984/21984	---M-Z	200	added ('OK')	text/css	etag:%221544225803%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	C:/My%20Web%20Sites/jegan/maxcdn.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://hari.azurewebsites.net/css/style.css)
08:00:02	1460/1460	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/svg-loaders/puff.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/svg-loaders/puff.svg	(from http://hari.azurewebsites.net/css/style.css)
08:00:03	94017/94017	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/1.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/1.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:01:30	384656/384656	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/img-2-small.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/img-2-small.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:01:31	1193/1193	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/close.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/close.png	(from http://hari.azurewebsites.net/css/style.css)
08:01:32	3224/3224	---M--	200	added ('OK')	image/png	etag:%2280be5260677ad01:0%22	http://hari.azurewebsites.net/img/icons/d.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/d.png	(from http://hari.azurewebsites.net/css/style.css)
08:01:35	667373/667373	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/img-1-small.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/img-1-small.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:01:45	589210/589210	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/img-3-small.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/img-3-small.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:02:56	1102009/1102009	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/img-4-small.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/img-4-small.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:03:53	851839/851839	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/img-2-large.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/img-2-large.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:04:15	121035/121035	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/bg-4.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/bg-4.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:04:29	1704/1704	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/services-icon.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/services-icon.svg	(from http://hari.azurewebsites.net/css/style.css)
08:05:44	1461/1461	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/ninja.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/ninja.svg	(from http://hari.azurewebsites.net/css/style.css)
08:06:41	989/989	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/smile.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/smile.svg	(from http://hari.azurewebsites.net/css/style.css)
08:06:55	920/920	---M--	200	added ('OK')	image/svg+xml	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/mail-icon.svg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/mail-icon.svg	(from http://hari.azurewebsites.net/css/style.css)
08:07:05	16609/16609	---M--	200	added ('OK')	image/png	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/icons/map-marker.png	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/icons/map-marker.png	(from http://hari.azurewebsites.net/css/style.css)
08:07:26	235267/235267	UR-M--	200	added ('Partial%20Content')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/portfolio/thumb/iot.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/portfolio/thumb/iot.jpg	(from http://hari.azurewebsites.net/)
08:08:10	58078/58078	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/bg-22.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/bg-22.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:08:30	150825/150825	---M--	200	added ('OK')	image/jpeg	etag:%2209e6a70677ad01:0%22	http://hari.azurewebsites.net/img/bg-2.jpg	C:/My%20Web%20Sites/jegan/hari.azurewebsites.net/img/bg-2.jpg	(from http://hari.azurewebsites.net/css/style.css)
08:08:35	117150/117150	---M-Z	200	added ('OK')	text/css	etag:%221544225723%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.2/css/bootstrap.min.css	C:/My%20Web%20Sites/jegan/maxcdn.bootstrapcdn.com/bootstrap/3.3.2/css/bootstrap.min.css	(from http://hari.azurewebsites.net/)
